review,sentiment
"I got a chance to talk with the co-creator, Rebecca Cammisa at the 2002 High Falls Film Festival in Rochester, NY. She said that her style is to be completely open and uninhibited in filmmaking but was very happy to be so severely constrained in the tight quarters of the group home. The narrow hallways and small rooms were expertly shot with a realism that would have been lost with more controlled and deliberate camera work.<br /><br />Sister Helen herself is a remarkable character, coming from tragedy in her own life to being an unusual combination of caring, tough, and street smart. The way the film introduces us to her past is excellent, spending only a few carefully selected minutes sprinkled throughout.<br /><br />In all, I can't begin to correctly heap on praise for this film. It really is a treasure of cinema and the subject a treasure of humanity.",positive
"An example of genius filmaking. The epic story of three major stages of life for a young boy told with eloquence and raw fearlessness. Rarely does a film come along that causes me to out loud say during most of the viewing, ""this is a really good film...."" again and again. That is exactly what happened when I watched this film. I really do not understand how anyone could not like it. I found myself at moments crying and laughing at the very same moment, unable to control how I felt about the scene. The acting is outstanding. Eric Mabius- why is he not all over movie screens? He was really extraordinary. His seemingly effortless attempt on the screen impacted me in deep visceral ways. I thank him. In my opinion, Eric Schaeffer is one of the best filmakers around, and I hope he continues to rise to the challenges that he faces while trying to give us art in the face of ferocious commercial filmaking.<br /><br />",positive
"The name (Frau) of the main character is the German word for ""Woman"". I don't know if that was intentional or not, but if sure got some giggles from the German audience at the Fantasy Film Festival last year, when it was shown.<br /><br />But those were the only giggles the movie got. Not that it was aiming for giggles, it's a horrible movie for heaven's sake! A horrible movie in more than one meaning. It's a shame that a premise like that was wasted with horrible even unbearable moments for the viewer (definetely not for the faint of Heart!!)! And it wasn't even necessary to show all the things that are shown. I'm not even going into a moral obligation (because movies don't really have that kind of task or function) discussion of what is shown here, but this is a new low on the whole ""torture movement"" that has grown in the last few years!",negative
"Blonde and Blonder has Pamela Anderson and Denise Richards in almost every scene and if you want more from a movie you're being utterly unreasonable. It feels like a late era Carry On, when the series was no longer blazing trails, but was still more funny than not, think Behind or England and you won't be too far off the mark. Pamela and Denise are bubbly, charming and clearly aware this isn't a masterpiece they're making, although you can give me it over lots of things I'm told to like. The supporting cast are energetic, even if some of them aren't particularly good; I can't see a couple of duff turns in a movie that's already practically forgotten making much difference to anything, so just smile. I really do think Blonde and Blonder is ace and I hope you hate me for it.",positive
"Bill Rebane's ""The Capture of Bigfoot"" is one of the most awful horror movies ever made.A greedy sawmill owner Harvey Olsen(Richard Kennedy)decides that he wants Bigfoot captured at all costs.However local game ranger Dave Garrett(Stafford Morgan)learns that the Bigfoot used to live in peace upset by a geological expedition,and sets out to protect the creature.There is nothing even remotely interesting in this piece of crap.The film is extremely dull and filled with horrible songs and cheap special effects.No gore,no suspense-just gigantic boredom.Avoid this horrible junk like the plague.",negative
"Nothing but the director's juvenile fantasy come to life. This 'movie' is nothing more than an excuse for the director/actor to play kissy face with an attractive young woman who would otherwise never give him the time of day.<br /><br />The plot is simple, the direction is nonexistent and the movie drags while the actor/director/writer/narrator narrates. Don't be fooled by the 'X' rating, there is no nudity and minimal gore.",negative
"I can't add much to what has been said already, except I'm going to have to because of the 10 lines minimum policy.<br /><br />I've actually got this on a VHS-to-DVD copy, but the quality is quite poor and I desperately need for it to be officially released.<br /><br />I can just imagine what extras I would like to see (Tim Healy's character swearing his way through one of those 'Football Bloopers' type programmes would be great!). You can imagine it now, can't you? But of course, it looks like most people will have to carry on dreaming about a DVD release.<br /><br />Surely to God there must be someone in the DVD releases department at ITV who also knows something about British culture, is web savvy and has enough about them to look at IMDb now and again? Oh, well.",positive
"Saying this movie is extremely hard to follow and just as frustrating to sit through is putting it very mildly. Also saying that the current available print is dark, dreary, scratchy, abysmally edited, painfully dubbed, seemingly censored and in almost unwatchable shape is also correct. This film is in dire need of a good remastering from the full, uncut, original negative and seeing how it's reasonably atmospheric (and won the director an award at the Catalonia Film Festival), it might actually be worth the trouble. Then again, maybe not... It's just impossible to tell in its current condition what kind of movie it actually is. It starts fairly interesting, if you can discount the completely senseless pre-credits opening sequence, which involves a deranged cat-killing, snake-loving little girl named Gerda. The girls mom, Carla (Mónica Randall, who should have laid off the eyeliner a little bit), splashes some gasoline around in the garage and torches the brat. Seemingly about as crazy as young Gerda, she goes to visit her estranged photographer (ex?) boyfriend Mario (""John""/Cihangir Caffari). He's on vacation from work, but so desperate to get away from Carla that he begs his employers to set him up on an assignment... any assignment. She scowls ""You'll be sorry!"" as he heads out the door. Well, Mario is assigned to photograph ""Witches Mountain"" (somewhere in the Pyrenees, I believe). Before he gets to his destination, he gets sight of a hottie on the beach named Delia (Patty Shepard) and snaps a few pictures of her taking off her bikini top. Only slightly peeved, she claims to be a single writer, the two flirt and then decide it would be a swell idea if they went on the trip up the mountain together. When they stop by her place so she can pack her bags, Mario suddenly hears loud, sinister music. Delia claims he's just hearing things.<br /><br />So the two begin their trip up the mountain, taking a stop at a local inn to spend the night. There they encounter a weird, partially-deaf, crazy-eyed innkeeper (Victor Israel) and Delia claims someone was spying on here through her window. The next day, under some trance, she wanders off up the mountain and is eventually located by Mario, who hops out of his jeep and runs after her. While he's finding out what's up, someone steals their wheels and they're forced to walk a piece, eventually finding the jeep undamaged at the foot of a small, ancient, seeming abandoned village... almost like someone was trying to intentionally lure them there. Well as we will see, that's exactly what has happened. In the village they encounter a friendly old woman named Zanta (Ana Farra) who claims she's the only person still living there and lets them stay in her home. Mario takes some pictures of the ""abandoned"" city and when he develops them they are eerily full of people. Slightly creeped out, he and Delia begin to leave and get stuck in ""treacherous"" fog and have to pull over and camp out for the night. The rest of the movie has to do with voodoo dolls, black cats transforming into sexy women, Satanic rituals performed by ladies in their bras and a deadly fall off a cliff. And yeah, coincidentally Carla the estranged wife turns out to be one of the witches, too. It all takes place in semi-darkness and to be quite honest, I didn't know what the hell was going on most of the time. The inconclusive ""open"" ending is just an additional slap in the face to anyone having to suffer through the rest of this senseless mess.<br /><br />Honestly, there are just a few things that stand out to me as being really good. The first is actress Shepard, who has that great Barbara Steele kind of dark, mysterious beauty. There's also an excellent music score (credited to Fernando Garcia Morcillo) and chanting songs, which aided immensely in making this film as atmospheric as it is. The location work is fairly decent, but as I said, the print is ugly as can be and it doesn't make a lick of sense, so proceed with caution on this one.",negative
"(Caution: several spoilers)<br /><br />Someday, somewhere, there's going to be a post-apocalyptic movie made that doesn't stink. Unfortunately, THE POSTMAN is not that movie, though I have to give it credit for trying.<br /><br />Kevin Costner plays somebody credited only as ""the Postman."" He's not actually a postman, just a wanderer with a mule in the wasteland of a western America devastated by some unspecified catastrophe. He trades with isolated villages by performing Shakespeare. Suddenly a pack of bandits called the Holnists, the self-declared warlords of the West, descend upon a village that Costner's visiting, and their evil leader Gen. Bethlehem (Will Patton) drafts Costner. After much misery and numerous efforts to break Costner's spirit, he escapes, thus ending a lengthy section of the movie that could have been told better in a three-minute flashback.<br /><br />We now finally get to the major premise: the escaped Costner finds an abandoned mail truck and delivers the letters to the nearest town, hoping to get some food under pretense of being a postman. A number of the village people led by young Ford (Larenz Tate) want to get in on this postman act, which does not sit well with Bethlehem and his bandits, and Costner finds himself the unwitting and unwilling leader of a band of postmen at war with the Holnists.<br /><br />The idea of The Postmen versus The Bad Guys is not as ridiculous as it sounds. The Holnists depend for their livelihood on the fact that the villages they prey on are isolated from one another; the Holnists can destroy any one village, but could not stand against all their victims united. To unite, the villages must communicate with one another, and a working mail system would thus be a big step toward putting the Holnists out of business. So it really makes a lot of sense that Bethlehem would get medieval on our heroic mail carriers. Unfortunately, Bethlehem's eventual defeat is not the result of the villages uniting against him, but instead your old standby cliche, the one-on-one brawl between him and Costner. Nor is there even any real attempt by the communities to use the mail to work together to solve their problems; all the mail seems to be the standard ""Hi, Aunt Debbie"" stuff played for maximum sentimental value.<br /><br />THE POSTMAN is one of the most predictable movies, shot for shot, that I have ever seen. Now, I don't purposely try to ruin movies for myself by straining to figure out what's going to happen next. But here we're talking about the kind of predictability that requires no effort; I just knew what was going to happen next whether or not I wanted to know. After a lion is prominently showcased eating people, a Holnist bandit seeking the escaped Costner ventures into the bushes after a noise, and we are then ""shocked"" when the lion eats him. A bunch of unoffending villagers are rounded up and shot by a firing squad, and one of the villagers sings out some Famous Last Words right before being shot, to my immense lack of surprise. A covered statue is unveiled to show exactly what everyone knew was going to be there: Costner bending to pick up a letter from a cutesy kid we saw earlier in the movie. A man tells Bethlehem that no sir, you can't just take my wife; Bethlehem runs the unsuspecting sod through, though he is the only person in the theater who is unsuspecting.<br /><br />But it is rank, cloying sentimentality that really undoes THE POSTMAN. Olivia Williams, playing Costner's lover Abby, is worst served. She pours her heart into the material and gives her very best effort to make it sound natural and sincere. She tries so hard, it's heart-breaking. But nobody could ever have made the lines ""I have a gift for you, Postman . . . You give out hope like it's candy in your pocket"" sound like anything but the syrupy pap that they are. Another example is the scene where a mounted Costner thunders past a little boy, ignoring his proffered letter, only to turn around, stare at him for what seems like five minutes, and then thunder back to pick up the letter. Why didn't Costner just pick it up the first time? No real reason; it's just an artifice that tries and fails to give us a feeling of elation by dashing the kid's hopes and then restoring them.<br /><br />Schmaltz and predictability unite at the end as the statue of the Postman is revealed. I sat thinking, ""Please don't tell me they're going to show the statue and then cut back to the scene with the cutesy kid. Surely that is too saccharine, too obvious for even this movie."" Then, alas, the music swelled and we did indeed cut back to the dreaded little boy smiling as his letter to his maiden aunt is whisked away, and I held my head in my hands and thought, ""Somebody shoot me."" It felt like having thirty pounds of apple pie rammed down my throat.<br /><br />Gen. Bethlehem is a more humanized villain than normal. Your standard-issue post-apocalyptic villain is the meanest, toughest S.O.B. in the valley. Bethlehem is shown to be a little nothing of a man inside, who tries to make himself feel important by beating up on others. Although some menace is thereby sacrificed, Bethlehem is credible in a way most villains aren't. Unfortunately, Will Patton overacts. And although we are told early on that Bethlehem utterly destroyed his last challenger in five seconds of hand-to-hand combat, Bethlehem's actual fighting skills shown at the end of the movie are absolutely ludicrous.<br /><br />The acting is otherwise pretty good. Costner has done better, but his Razzie was an overreaction. As mentioned, Olivia Williams is very impressive. Larenz Tate as Ford does a sincere and credible job. James Newton Howard's score is competent, though short of the epic standards the movie was going for. But it's not enough to save this film.<br /><br />Rating: *1/2 out of ****.",negative
"FIVE STAR FINAL was one of the best films of the early 1930s. It starred Edward G. Robinson and was a very gritty story about a sleazy newspaper and their willingness to do anything...ANYTHING to sell newspapers. In particular, an old story of an innocent woman is plastered across the pages and helps to destroy her now happy life--many years after she was inadvertently involved in a scandal. The reason I loved the film so much was that it was unflinching and pulled no punches--showing just how low the publishers can be to sell papers.<br /><br />Here in TWO AGAINST THE WORLD, it is a remake of FIVE STAR FINAL--with a few changes. Instead of Robinson, this film stars Humphrey Bogart and he is the head of programming at a radio station, not a newspaper. Otherwise, the story is essentially the same--except that it's a bit less edgy and lacks some of the grit and sensationalism of the original. This isn't to say the film is bad--it just doesn't pack quite as good a punch as the first film. In other words, if you must see one of these films, see the first--though this film is quite powerful and enjoyable as well. As for me, I loved the story so much, I saw both films and enjoyed them both.<br /><br />TWO AGAINST THE WORLD begins with the UBC radio owner complaining to his programming head (Bogart) that all the ""high brow"" shows he's put on are getting low ratings. The owner demands muck--lots of muck in order to get more listeners. One way they discuss is to do a multi-part dramatization of a famous killing that occurred two decades ago--even though the killer was acquitted and she killed only in self-defense. However, they decide to play up the story as if she was guilty and they even go so far as to both send a writer to the lady's home pretending to be a minister(!) as well as broadcasting her current name and whereabouts. Needless to say, this ruins the woman and leads to a horrible tragedy. Then, and only then, does Bogart feel any real remorse for producing such garbage--leading to a dandy finale about journalistic integrity and decency.<br /><br />Well-acted, a great story idea and a message that is just as important today as it was back in the 1930s, this is one story you have to see. In particular, notice the wonderful and very emotional confrontation scene where the daughter attacks the owner and Bogart---it is one heck of a great example of acting and writing.",positive
